capability,min,max,spread,models_present
sampling_statistical_interpretation,0.3016,0.9335,0.6319,7
scientific_hypothesis_plausibility,0.298,0.929,0.631,7
reference_coreference_resolution,0.3592,0.9886,0.6294,7
patch_diff_correctness,0.2411,0.8689,0.6278,7
email_intent_hard,0.3682,0.9944,0.6261999999999999,7
constraint_satisfaction_judgement,0.3391,0.9639,0.6248,7
symptom_triage,0.3428,0.9651,0.6223,7
preference_learning_from_explicit_examples,0.3538,0.9739,0.6201,7
database_query_reasoning,0.3717,0.9905,0.6188,7
game_theory_judgements,0.3683,0.9859,0.6175999999999999,7
negotiation_judgements,0.2816,0.8991,0.6174999999999999,7
mechanical_system_reasoning,0.0817,0.6957,0.614,7
conversation_state_tracking,0.387,1.0,0.613,7
contract_clause_consistency,0.1719,0.7844,0.6125,7
evidence_sufficiency,0.3885,0.9997,0.6112,7
formality_level,0.2739,0.8851,0.6112,7
expected_utility_decisions,0.3733,0.9841,0.6108,7
information_density_judgement,0.1358,0.7408,0.605,7
parallelization_suitability,0.2691,0.8722,0.6031,7
contradiction_resolution,0.3746,0.9765,0.6019000000000001,7
adversarial_agent_reasoning,0.3629,0.9646,0.6017,7
pragmatic_intent_understanding,0.218,0.8196,0.6016,7
api_contract_compatibility,0.1865,0.7867,0.6002,7
requirement_traceability,0.2427,0.8409,0.5982,7
rule_following_formal_logic,0.4005,0.9986,0.5981000000000001,7
version_compatibility,0.4028,1.0,0.5972,7
error_handling_quality,0.3135,0.9095,0.596,7
grammar_issue,0.1835,0.7792,0.5957,7
set_coverage_diversity_judgement,0.4062,1.0,0.5938,7
domain_identification,0.3885,0.9809,0.5924,7
ocr_ngram_based_text_recognition,0.4103,1.0,0.5897,7
answerability_from_provided_context,0.2964,0.885,0.5886,7
dietary_vegan,0.3971,0.98,0.5829,7
support_department_hard,0.3421,0.9241,0.5820000000000001,7
recipe_cuisine,0.4164,0.9982,0.5818,7
confidence_vs_evidence_consistency,0.2195,0.8,0.5805,7
form_completeness,0.4252,0.9929,0.5677,7
change_risk_judgement,0.2033,0.7709,0.5676,7
compatibility_matching,0.3591,0.9265,0.5674,7
document_type_classification,0.4347,1.0,0.5653,7
physical_commonsense,0.3889,0.954,0.5650999999999999,7
code_review_intent,0.3931,0.9581,0.565,7
unit_understanding,0.2982,0.8619,0.5637,7
embodied_unknowns,0.4193,0.9824,0.5631,7
abstraction_level_matching,0.3567,0.9178,0.5610999999999999,7
synthetic_data_plausibility,0.4353,0.993,0.5577,7
granularity_selection,0.4142,0.9706,0.5564,7
email_thread_state_understanding,0.3185,0.8704,0.5519,7
persona_consistency,0.3334,0.8841,0.5507,7
scope_reasoning,0.3399,0.89,0.5501,7
narrative_next_event_plausibility,0.4506,1.0,0.5494,7
frustration_level,0.4004,0.9428,0.5424,7
embodied_emotions,0.2121,0.7544,0.5423,7
return_reason,0.4459,0.9879,0.542,7
sql_injection_risk,0.4001,0.9408,0.5407,7
configuration_correctness,0.3544,0.8938,0.5394000000000001,7
graph_logic,0.2855,0.8245,0.539,7
incident_severity,0.344,0.882,0.538,7
home_service_routing,0.4604,0.9984,0.538,7
serialization_compatibility,0.4315,0.9694,0.5379,7
weather_alert_severity,0.4523,0.9891,0.5367999999999999,7
meeting_conflict,0.442,0.9774,0.5354000000000001,7
unknown_known_state_classification,0.4639,0.9946,0.5307000000000001,7
prioritization_under_constraints,0.2466,0.7747,0.5281,7
pairwise_preference_prediction,0.3716,0.8965,0.5248999999999999,7
world_model_consistency,0.4477,0.9701,0.5224,7
pii_sensitive_data_classification,0.4484,0.9688,0.5204,7
comparative_judgement_transitivity,0.4129,0.9315,0.5186,7
program_behavior_prediction,0.4329,0.9475,0.5146,7
document_consistency,0.2441,0.7584,0.5143,7
lead_qualification,0.3915,0.9046,0.5130999999999999,7
local_rule_over_world_knowledge_judgement,0.4794,0.9923,0.5128999999999999,7
invoice_anomaly_detection,0.3292,0.84,0.5107999999999999,7
embodied_animal_understanding,0.3834,0.894,0.5105999999999999,7
minimal_sufficient_explanation_selection,0.49,1.0,0.51,7
insurance_claim_priority,0.331,0.8403,0.5093000000000001,7
math_quantitative_decisions,0.2436,0.7528,0.5092,7
reading_level,0.4592,0.966,0.5067999999999999,7
calibration_under_ambiguity,0.2294,0.7336,0.5042,7
explanation_necessity_judgement,0.4071,0.9106,0.5035,7
consistency_under_irrelevant_context_insertion,0.4452,0.9449,0.4997,7
content_type,0.4664,0.966,0.4996,7
definition_adherence,0.4995,0.9985,0.49900000000000005,7
test_quality_and_adequacy,0.2604,0.7594,0.49899999999999994,7
geographical_consistency,0.374,0.8729,0.4989,7
code_switch_understanding,0.115,0.6094,0.49440000000000006,7
fraud_scam_likelihood,0.1899,0.6835,0.4936,7
hallucination_detection,0.2751,0.7673,0.49219999999999997,7
veterinary_triage,0.3959,0.888,0.49210000000000004,7
data_migration_correctness,0.2932,0.7846,0.49139999999999995,7
decision_robustness,0.4427,0.9311,0.48840000000000006,7
support_department,0.4503,0.9331,0.48280000000000006,7
booking_accounting_mapping,0.5146,0.9959,0.48130000000000006,7
semantic_similarity_and_factual_correctness,0.3202,0.8007,0.4805,7
distributed_systems_consistency,0.2888,0.7661,0.4773,7
cross_domain_synthesis,0.3913,0.8675,0.47620000000000007,7
suspicious_transaction,0.4909,0.9634,0.47250000000000003,7
observability_adequacy,0.3083,0.7795,0.47119999999999995,7
explanation_quality_judgement,0.3361,0.8071,0.47100000000000003,7
oncall_route,0.5255,0.9915,0.4660000000000001,7
emotion_cause_attribution,0.535,1.0,0.46499999999999997,7
accounting_reasonableness,0.4157,0.8806,0.46490000000000004,7
city_service_request,0.535,0.997,0.46199999999999997,7
secret_leak_hard,0.4639,0.9256,0.4617,7
consistency_under_paraphrase,0.3654,0.8252,0.45980000000000004,7
regex_pattern_correctness,0.2175,0.6769,0.4593999999999999,7
cache_correctness,0.1771,0.6349,0.4578,7
gaming_report_type,0.5027,0.9595,0.4568,7
temporal_graph_consistency,0.5002,0.9562,0.45600000000000007,7
ad_policy_violation,0.542,0.9903,0.4482999999999999,7
routing_intent_support_priority,0.4935,0.9411,0.44760000000000005,7
code_requirement_satisfaction,0.225,0.6711,0.44610000000000005,7
multi_label_topic_classification,0.5538,0.9995,0.4457000000000001,7
voice_assistant_intent,0.5493,0.9945,0.44520000000000004,7
gpqa_diamond,0.1929,0.6359,0.44300000000000006,7
claim_entailment,0.3064,0.7484,0.44199999999999995,7
open_source_license_compatibility,0.3361,0.7754,0.43929999999999997,7
dataset_example_quality,0.1604,0.5982,0.43779999999999997,7
expertise_level_estimation_of_text,0.5591,0.9943,0.4351999999999999,7
theory_of_mind_false_belief_reasoning,0.4972,0.932,0.4348000000000001,7
historical_fact_verification,0.5594,0.992,0.4326,7
rationale_to_answer_consistency,0.5053,0.9375,0.43220000000000003,7
soft_vs_hard_constraint_discrimination,0.5652,0.9974,0.4321999999999999,7
comparative_language_reasoning,0.3625,0.7933,0.4308,7
embodied_affordances,0.4961,0.9269,0.43079999999999996,7
sensitivity_analysis,0.3594,0.7897,0.43029999999999996,7
pareto_optimal_decision_taking,0.325,0.7536,0.42860000000000004,7
phishing_email,0.4898,0.9175,0.42769999999999997,7
log_event_sequence_diagnosis,0.5731,0.9989,0.42579999999999996,7
redundancy_detection,0.2445,0.6685,0.424,7
synonym_semantic_substitution_scoring,0.1884,0.6061,0.41769999999999996,7
relationship_permission_reasoning,0.5356,0.9518,0.4162,7
accessibility_semantics_from_source,0.5131,0.928,0.41490000000000005,7
inventory_decisions,0.3424,0.7491,0.4067,7
information_acquisition_value,0.4882,0.894,0.4058,7
reversibility_destructiveness,0.4011,0.8065,0.4054,7
frustration_level_hard,0.3805,0.7857,0.40519999999999995,7
animal_affordance_constraint_reasoning,0.5135,0.9181,0.40460000000000007,7
security_policy_risk,0.4554,0.858,0.40259999999999996,7
urgency,0.5822,0.984,0.40179999999999993,7
expense_category,0.598,0.9991,0.4011,7
state_machine_correctness,0.369,0.7696,0.40059999999999996,7
commit_intent,0.5185,0.9165,0.398,7
urgency_hard,0.5772,0.9725,0.3953,7
refund_eligible,0.5443,0.9384,0.3941,7
dimensional_consistency,0.5341,0.9255,0.39139999999999997,7
content_moderation,0.5926,0.9829,0.3903,7
tone_register_classification,0.6047,0.989,0.3843,7
code_quality_judgements,0.5123,0.8953,0.383,7
hard_reasoning,0.1968,0.5756,0.3788,7
topic_keyword_fidelity,0.6218,1.0,0.3782,7
biological_system_reasoning,0.5983,0.9764,0.3781,7
command_line_semantics,0.4717,0.8475,0.3758,7
adversarial_example_detection,0.3683,0.7425,0.37420000000000003,7
evidence_provenance,0.627,1.0,0.373,7
contains_spoiler,0.5794,0.9517,0.37229999999999996,7
allergen_present,0.5783,0.9474,0.3691,7
invariant_detection,0.5948,0.9606,0.3658,7
glossary_adherence,0.6188,0.9828,0.364,7
algorithm_data_structure_appropriateness,0.3767,0.7403,0.3636,7
oos_abstention_ambiguity,0.3831,0.7454,0.36229999999999996,7
email_intent,0.6364,0.998,0.36160000000000003,7
medical_chronology_consistency,0.6195,0.98,0.36049999999999993,7
consistency_under_option_permutation,0.5803,0.9373,0.357,7
question_duplicate,0.631,0.9863,0.35529999999999995,7
hazmat_shipping,0.6429,0.9961,0.35319999999999996,7
category_error_detection,0.6516,0.998,0.34640000000000004,7
human_vs_machine_task_suitability,0.4274,0.7715,0.34409999999999996,7
geometry_and_embodied_navigation,0.2247,0.5685,0.3438,7
bayesian_evidence_updating,0.5533,0.8964,0.34309999999999996,7
secret_leak,0.5663,0.9088,0.3425,7
analogy_validity,0.3029,0.6452,0.3423,7
regression_likelihood_judgement,0.2132,0.5493,0.3361,7
travel_policy_violation,0.5026,0.8361,0.3334999999999999,7
mechanism_vs_pattern_distinction,0.3235,0.6554,0.3319,7
warranty_claim_eligible,0.5628,0.8946,0.3318,7
scheduling_feasibility,0.3334,0.664,0.33060000000000006,7
churn_risk,0.652,0.979,0.32699999999999996,7
typed_jev_native_replay,0.5211,0.8459,0.3248,7
dominated_information_detection,0.494,0.8174,0.3234,7
capacity_planning,0.1898,0.5088,0.31900000000000006,7
quantifier_reasoning_in_natural_text,0.4615,0.7784,0.31689999999999996,7
measurement_uncertainty_reasoning,0.3789,0.6955,0.3166,7
negation_polarity_tracking,0.4536,0.7679,0.3143,7
fact_vs_inference_classification,0.4602,0.767,0.3068,7
fair_housing_violation,0.6041,0.906,0.30190000000000006,7
news_topic,0.6978,0.9981,0.3003,7
base_rate_awareness,0.2848,0.5828,0.298,7
action_item_assignment,0.5688,0.8667,0.29790000000000005,7
action_item_extraction_verification,0.6073,0.9012,0.29390000000000005,7
ontology_taxonomy_consistency,0.2995,0.5925,0.29300000000000004,7
humor_explanation_correctness,0.7112,1.0,0.28879999999999995,7
character_goal_consistency,0.7078,0.9909,0.2831,7
contract_clause_type,0.718,1.0,0.28200000000000003,7
live_data_requirement,0.6149,0.8748,0.2599,7
contains_pii,0.7102,0.9687,0.25849999999999995,7
forecast_consistency,0.4261,0.6786,0.2525,7
refund_eligible_hard,0.5315,0.7729,0.24140000000000006,7
embodied_time_aware_world_views,0.5491,0.79,0.2409,7
record_deduplication,0.2294,0.4682,0.2388,7
benchmark_contamination_clues,0.3987,0.6358,0.23710000000000003,7
app_review_intent,0.7664,0.998,0.23160000000000003,7
scale_plausibility,0.7398,0.9706,0.2308,7
document_type,0.7822,1.0,0.2178,7
class_label_leakage_detection,0.6871,0.8938,0.2067,7
word_sense_disambiguation,0.7968,1.0,0.20320000000000005,7
source_reliability_in_context,0.798,1.0,0.20199999999999996,7
self_consistency_across_outputs,0.48,0.6776,0.1976,7
budget_consistency,0.4927,0.685,0.19230000000000003,7
delivery_exception,0.8089,1.0,0.19110000000000005,7
entity_resolution,0.6796,0.8684,0.18879999999999997,7
multi_criteria_scoring_consistency,0.3936,0.5743,0.18070000000000003,7
medical_differential_reasoning_benchmarks,0.8249,1.0,0.17510000000000003,7
graph_knowledge,0.84,1.0,0.16000000000000003,7
