capability,jev-1.13.0,bonsai-2-27b-calibrated,bonsai-2-27b-calibration-init,laya,openjev-qwen3.5-4b,spark-X2.5,von-1.1
embodied_affordances,0.9269,0.8381,0.8109,0.4961,0.8053,0.512,0.6182
embodied_animal_understanding,0.894,0.7548,0.7608,0.3834,0.6634,0.5775,0.4244
embodied_emotions,0.7544,0.3318,0.3298,0.5485,0.222,0.2121,0.3881
embodied_time_aware_world_views,0.79,0.7686,0.7355,0.5491,0.774,0.6461,0.5655
embodied_unknowns,0.833,0.9001,0.8525,0.4505,0.8701,0.9824,0.4193
emotion_cause_attribution,1.0,0.993,0.9941,0.6425,0.9555,0.9994,0.535
entity_resolution,0.8684,0.7529,0.7484,0.6947,0.7365,0.693,0.6796
environment_portability_judgements,0.9525,0.8641,0.873,0.4945,0.8884,0.9829,0.2138
error_handling_quality,0.9095,0.6183,0.6267,0.3288,0.7435,0.5922,0.3135
evidence_provenance,1.0,0.8859,0.8888,0.7725,0.6416,0.627,0.9964
evidence_sufficiency,0.93,0.9956,0.985,0.5881,0.9917,0.9997,0.3885
expected_utility_decisions,0.9841,0.5866,0.586,0.3733,0.4068,0.4128,0.3743
expense_category,0.9931,0.9762,0.9784,0.598,0.9821,0.9991,0.9589
experimental_design_judgement,0.9684,0.6947,0.7031,0.4714,0.6578,0.658,0.3202
expertise_level_estimation_of_text,0.9943,0.8927,0.8982,0.5591,0.9129,0.7421,0.6109
explanation_necessity_judgement,0.9029,0.8701,0.8133,0.4071,0.9106,0.8249,0.5719
explanation_quality_judgement,0.8071,0.6276,0.6362,0.3415,0.4436,0.5514,0.3361
fact_vs_inference_classification,0.767,0.7462,0.7486,0.4664,0.7577,0.7494,0.4602
failure_mode_classification,0.997,0.8548,0.8583,0.4008,0.9072,0.9142,0.2132
fair_housing_violation,0.906,0.883,0.8648,0.6041,0.8383,0.8974,0.8045
forecast_consistency,0.6786,0.6285,0.6065,0.4261,0.6416,0.6001,0.5999
form_completeness,0.9929,0.7299,0.7385,0.5005,0.65,0.5968,0.4252
formality_level,0.8851,0.7758,0.7993,0.2739,0.6444,0.6503,0.5057
fraud_scam_likelihood,0.6835,0.3861,0.4037,0.2594,0.3442,0.3588,0.1899
frustration_level,0.8274,0.7806,0.7925,0.4004,0.8241,0.8105,0.9428
frustration_level_hard,0.7857,0.6828,0.6965,0.3805,0.6674,0.5707,0.456
game_theory_judgements,0.9859,0.658,0.6617,0.3683,0.5891,0.5371,0.6104
gaming_report_type,0.9595,0.9231,0.9289,0.5027,0.8094,0.7703,0.8513
geographical_consistency,0.7522,0.8713,0.831,0.374,0.8729,0.7171,0.7982
geometry_and_embodied_navigation,0.5685,0.3896,0.3932,0.2647,0.3692,0.3909,0.2247
glossary_adherence,0.9828,0.9735,0.9557,0.773,0.9186,0.8109,0.6188
gpqa_diamond,0.6359,0.3344,0.3364,0.3077,0.5033,0.4546,0.1929
grammar_issue,0.7792,0.5959,0.6013,0.1835,0.3495,0.5084,0.4309
grammar_judgement,0.9776,0.9286,0.9359,0.3837,0.9377,0.7931,0.2551
granularity_selection,0.9706,0.8767,0.8817,0.6931,0.9216,0.7572,0.4142
graph_knowledge,1.0,0.9955,0.9964,0.9994,0.9963,1.0,0.84
graph_logic,0.8245,0.4902,0.4893,0.2855,0.3967,0.4244,0.3383
graph_path_relevance,0.997,0.8671,0.8733,0.1361,0.7161,0.9934,0.5814
hallucination_detection,0.7622,0.7053,0.7102,0.4592,0.7673,0.75,0.2751
hard_reasoning,0.5756,0.3397,0.3412,0.2451,0.2945,0.1968,0.2186
hazmat_shipping,0.9088,0.9949,0.986,0.6439,0.9451,0.9961,0.6429
historical_anachronism_detection,0.8671,0.7085,0.6711,0.4651,0.654,0.6838,0.2342
historical_fact_verification,0.9602,0.992,0.9773,0.5594,0.9775,0.9472,0.9735
home_service_routing,0.9984,0.982,0.9844,0.4604,0.9942,0.9387,0.9454
human_vs_machine_task_suitability,0.7715,0.6561,0.6599,0.43,0.5918,0.636,0.4274
humor_explanation_correctness,1.0,0.8633,0.8704,0.7112,0.9323,0.9711,0.9861
idempotency_judgements,0.8896,0.7234,0.7314,0.4604,0.7452,0.975,0.2942
incident_severity,0.8787,0.802,0.8201,0.344,0.7276,0.7352,0.882
incident_severity_hard,0.9193,0.7824,0.8089,0.2594,0.7192,0.7966,0.3511
information_acquisition_value,0.894,0.5868,0.5935,0.4882,0.6261,0.6129,0.5532
information_density_judgement,0.6621,0.3563,0.3576,0.1358,0.6273,0.7408,0.221
information_retrieval_relevance,0.9926,0.9512,0.9562,0.2485,0.9556,1.0,0.0001
insurance_claim_priority,0.8403,0.7151,0.7331,0.331,0.7048,0.737,0.4251
invariant_detection,0.9606,0.8756,0.85,0.6599,0.8458,0.6798,0.5948
inventory_decisions,0.7491,0.56,0.5639,0.3424,0.5303,0.5588,0.4243
invoice_anomaly_detection,0.84,0.8177,0.8233,0.5153,0.7629,0.8094,0.3292
language_dialect_identification,1.0,0.9453,0.9497,0.8419,0.968,0.8847,0.1987
lead_qualification,0.9046,0.8092,0.8361,0.3915,0.731,0.8214,0.8298
live_data_requirement,0.8748,0.8666,0.8095,0.6149,0.7244,0.7269,0.6239
local_rule_over_world_knowledge_judgement,0.9555,0.9923,0.9771,0.7287,0.9866,0.4794,0.7905
log_event_sequence_diagnosis,0.9349,0.9517,0.9578,0.7221,0.957,0.9989,0.5731
long_context_distractor_resistance,1.0,0.9945,0.9955,0.3046,0.9989,1.0,0.2427
math_quantitative_decisions,0.7528,0.4363,0.4401,0.2446,0.3314,0.3295,0.2436
measurement_uncertainty_reasoning,0.6955,0.4981,0.4986,0.3871,0.4799,0.5053,0.3789
mechanical_system_reasoning,0.6957,0.4926,0.4989,0.1917,0.4736,0.3705,0.0817
mechanism_vs_pattern_distinction,0.6554,0.5788,0.582,0.4475,0.42,0.3912,0.3235
medical_chronology_consistency,0.98,0.93,0.8896,0.687,0.9591,0.6795,0.6195
medical_differential_reasoning_benchmarks,0.998,0.9751,0.9784,0.8249,0.9876,1.0,0.9202
meeting_conflict,0.9774,0.7223,0.7158,0.4555,0.7237,0.4626,0.442
minimal_sufficient_explanation_selection,1.0,0.9459,0.9518,0.49,0.9799,1.0,0.8719
mood_atmosphere_understanding,0.9896,0.9353,0.9411,0.6708,0.944,0.9901,0.3313
multi_criteria_scoring_consistency,0.5481,0.5418,0.5328,0.5743,0.4445,0.3936,0.4047
multi_label_topic_classification,0.9587,0.9937,0.9821,0.5538,0.9938,0.9995,0.9995
narrative_next_event_plausibility,1.0,0.9682,0.9723,0.4506,0.9761,1.0,0.5065
needle_set_retrieval,0.9623,0.2978,0.2999,0.2543,0.2831,0.2528,0.3514
negation_polarity_tracking,0.7679,0.7008,0.7057,0.5129,0.7402,0.6965,0.4536
negotiation_judgements,0.8991,0.3745,0.3781,0.2816,0.4929,0.4373,0.3229
news_topic,0.9981,0.9928,0.994,0.6978,0.9786,0.9167,0.9873
noisy_ocr_reconstruction,0.9741,0.901,0.908,0.1843,0.9899,0.8631,0.2013
object_permanence_state_tracking,1.0,0.9849,0.9872,0.288,0.9644,0.9875,0.3515
observability_adequacy,0.7795,0.5072,0.5142,0.3675,0.4962,0.5067,0.3083
ocr_ngram_based_text_recognition,1.0,0.994,0.995,0.4103,0.9967,1.0,0.4203
oncall_route,0.9915,0.9803,0.9825,0.5255,0.9783,0.9875,0.9476
ontology_taxonomy_consistency,0.5925,0.4432,0.4486,0.3496,0.3953,0.4029,0.2995
oos_abstention_ambiguity,0.7454,0.6544,0.6615,0.3831,0.6429,0.5311,0.4987
open_source_license_compatibility,0.7754,0.5851,0.5903,0.3361,0.5761,0.4063,0.3665
operational_urgency,0.9367,0.6012,0.6316,0.3023,0.6826,0.6375,0.6298
order_of_magnitude_reasoning,0.9582,0.7577,0.7675,0.3554,0.6528,0.5733,0.2581
pairwise_preference_prediction,0.8965,0.6353,0.6411,0.3716,0.6322,0.6412,0.6655
parallelization_suitability,0.8722,0.5349,0.5413,0.3828,0.554,0.4812,0.2691
pareto_optimal_decision_taking,0.6824,0.4999,0.4997,0.6661,0.5635,0.325,0.7536
patch_diff_correctness,0.8689,0.3951,0.3983,0.2411,0.4494,0.3392,0.2617
performance_bottleneck_attribution,0.9481,0.7672,0.7739,0.1827,0.8294,0.8851,0.2331
persona_consistency,0.8841,0.739,0.7443,0.3334,0.5982,0.6104,0.5728
phishing_email,0.9175,0.9111,0.8696,0.6765,0.7595,0.884,0.4898
physical_commonsense,0.9346,0.9068,0.8689,0.3889,0.954,0.7167,0.8275
pii_sensitive_data_classification,0.9563,0.9551,0.9599,0.4484,0.9401,0.9688,0.5406
pragmatic_intent_understanding,0.8196,0.6996,0.7065,0.3386,0.581,0.807,0.218
preference_learning_from_explicit_examples,0.9739,0.629,0.6325,0.3538,0.5663,0.4679,0.4974
prioritization_under_constraints,0.7747,0.6435,0.6509,0.2466,0.7189,0.5377,0.3164
probability_calibration_language,0.9881,0.725,0.7296,0.3232,0.7477,0.8814,0.3785
probability_support_judgement,0.8807,0.6544,0.6318,0.3469,0.353,0.2247,0.3305
product_catalog_matching,0.9986,0.926,0.9309,0.2865,0.9213,0.857,0.2827
program_behavior_prediction,0.9475,0.8749,0.8826,0.5404,0.7897,0.9456,0.4329
quantifier_reasoning_in_natural_text,0.7784,0.7429,0.7469,0.4839,0.7481,0.7669,0.4615
question_duplicate,0.9403,0.9863,0.9685,0.631,0.8092,0.9518,0.9103
rationale_to_answer_consistency,0.9375,0.7389,0.7152,0.74,0.6255,0.6127,0.5053
reading_level,0.9492,0.9504,0.966,0.4592,0.9396,0.9152,0.8486
recipe_cuisine,0.9982,0.9776,0.9793,0.4164,0.9839,0.9487,0.7905
recommendation_reranking_quality,0.9994,0.7639,0.7698,0.3082,0.6542,0.6525,0.3404
record_deduplication,0.4682,0.3909,0.3917,0.3535,0.3843,0.4626,0.2294
recoverability_judgement,0.9084,0.7923,0.7984,0.2033,0.7479,0.8245,0.2614
redundancy_detection,0.6685,0.4392,0.4417,0.3008,0.4442,0.418,0.2445
reference_coreference_resolution,0.9886,0.8161,0.8228,0.4648,0.6351,0.6108,0.3592
refund_eligible,0.8179,0.9384,0.911,0.5443,0.9242,0.7718,0.8249
refund_eligible_hard,0.7729,0.7162,0.6918,0.5528,0.691,0.5611,0.5315
regex_pattern_correctness,0.6769,0.6061,0.6127,0.251,0.4628,0.5076,0.2175
regression_likelihood_judgement,0.5493,0.3652,0.3731,0.2454,0.3573,0.2132,0.2266
relationship_permission_reasoning,0.9489,0.8956,0.8717,0.5356,0.9518,0.8787,0.8837
requirement_traceability,0.8409,0.5081,0.5139,0.2427,0.3187,0.5233,0.3172
resource_planning,0.821,0.3312,0.333,0.2673,0.297,0.1654,0.2896
return_reason,0.9879,0.9581,0.9619,0.4459,0.9551,0.9528,0.4864
reversibility_destructiveness,0.8065,0.5577,0.5638,0.4011,0.4923,0.5042,0.4054
review_sentiment,0.9584,0.861,0.8805,0.3048,0.8354,0.727,0.8059
review_sentiment_hard,0.9492,0.7876,0.8163,0.2705,0.7585,0.6812,0.4218
root_cause_attribution,0.9949,0.8387,0.8468,0.9501,0.6941,0.159,0.8879
route_feasibility,0.8988,0.4334,0.4363,0.2453,0.4415,0.2654,0.4371
routing_intent_support_priority,0.9411,0.8896,0.8949,0.4935,0.8948,0.9002,0.7315
rubric_based_quality_assessment,0.9476,0.5096,0.5142,0.2701,0.4652,0.4153,0.3898
rule_following_formal_logic,0.9986,0.6967,0.7017,0.4322,0.7022,0.5692,0.4005
sampling_statistical_interpretation,0.9335,0.8288,0.8365,0.3896,0.8227,0.8663,0.3016
sarcasm_and_humor_understanding,0.8979,0.6706,0.6762,0.3682,0.7693,0.605,0.2235
scale_plausibility,0.9484,0.8604,0.8201,0.7398,0.9706,0.7968,0.9087
scheduling_feasibility,0.6028,0.4877,0.4931,0.4236,0.5529,0.664,0.3334
scientific_hypothesis_plausibility,0.929,0.7763,0.7844,0.298,0.8056,0.6306,0.3449
scope_reasoning,0.89,0.7429,0.7485,0.4362,0.7705,0.7061,0.3399
secret_leak,0.9088,0.8953,0.8773,0.6383,0.7854,0.5663,0.5951
secret_leak_hard,0.9256,0.7641,0.7457,0.5017,0.6659,0.4639,0.5018
security_policy_risk,0.858,0.7849,0.7858,0.4554,0.7752,0.8164,0.5221
self_consistency_across_outputs,0.6776,0.5937,0.5753,0.6515,0.48,0.6054,0.6303
semantic_similarity_and_factual_correctness,0.7709,0.7075,0.7117,0.4577,0.8007,0.7368,0.3202
sensitivity_analysis,0.7897,0.544,0.5484,0.3594,0.5006,0.6499,0.3685
serialization_compatibility,0.8097,0.7143,0.722,0.5254,0.6596,0.9694,0.4315
set_coverage_diversity_judgement,1.0,0.9758,0.9787,0.4062,0.9856,1.0,0.9398
social_norm_reasoning,0.973,0.8702,0.8744,0.3203,0.9545,0.8,0.4075
soft_vs_hard_constraint_discrimination,0.9974,0.9183,0.9249,0.5652,0.9356,0.9342,0.5858
source_reliability_in_context,1.0,0.9786,0.9814,0.8284,0.989,0.9987,0.798
spatial_relation_reasoning,0.8848,0.5729,0.5793,0.6127,0.566,0.4177,0.2057
spreadsheet_formula_semantics_from_text,0.9946,0.6887,0.6935,0.26,0.5603,0.5725,0.2413
spurious_correlation_resistance,0.4652,0.7089,0.7182,0.5461,0.5451,0.7688,0.1155
sql_injection_risk,0.9408,0.7612,0.7516,0.4001,0.5985,0.5262,0.475
state_machine_correctness,0.7696,0.4444,0.4454,0.3806,0.369,0.3731,0.4614
stopping_decision_sufficiency,0.85,0.9261,0.8922,0.7332,0.9274,0.9594,0.2881
structured_schema_decisions,0.9918,0.9168,0.9216,0.2743,0.8607,0.4999,0.376
summary_completeness,0.9988,0.9065,0.914,0.2194,0.6845,0.8161,0.79
support_department,0.9331,0.8947,0.8987,0.4503,0.9073,0.8569,0.8187
support_department_hard,0.9241,0.7934,0.7977,0.3434,0.8206,0.8013,0.3421
suspicious_transaction,0.8825,0.9634,0.9374,0.6945,0.9015,0.4909,0.7363
symptom_triage,0.8085,0.7261,0.7486,0.3428,0.5815,0.5146,0.9651
synonym_semantic_substitution_scoring,0.6061,0.4338,0.4348,0.1884,0.5669,0.4132,0.338
synthetic_data_plausibility,0.9695,0.9235,0.9137,0.5798,0.993,0.8202,0.4353
table_reasoning_from_linearized_text,0.9388,0.7262,0.7311,0.2492,0.7025,0.44,0.2375
taxonomy_category_assignment,1.0,0.9775,0.9805,0.5853,0.9702,1.0,0.3417
temporal_graph_consistency,0.9391,0.9562,0.9192,0.6618,0.7412,0.9491,0.5002
temporal_ordering,0.9999,0.8828,0.8873,0.3116,0.4908,0.7818,0.3445
test_quality_and_adequacy,0.7594,0.619,0.6281,0.3267,0.4885,0.5818,0.2604
theory_of_mind_false_belief_reasoning,0.932,0.8256,0.8352,0.7451,0.8355,0.8222,0.4972
tone_register_classification,0.989,0.8937,0.8992,0.6047,0.8883,0.9282,0.6635
tool_action_selection,0.8176,0.8668,0.8717,0.2596,0.858,0.7142,0.2016
topic_keyword_fidelity,1.0,0.9226,0.9292,0.6218,0.948,1.0,0.7901
transaction_anomaly_detection,0.9366,0.6708,0.6741,0.4249,0.721,0.6326,0.0701
translation_correctness,0.9977,0.8141,0.8202,0.2748,0.8022,0.671,0.1971
travel_policy_violation,0.8361,0.7961,0.7628,0.5619,0.7198,0.5026,0.6588
typed_jev_native_replay,0.8459,0.8363,0.8353,0.5211,0.8057,0.8134,0.6892
unit_understanding,0.8619,0.4848,0.4891,0.3275,0.3597,0.682,0.2982
unknown_known_state_classification,0.9946,0.973,0.9769,0.6426,0.9101,0.9671,0.4639
urgency,0.9581,0.984,0.972,0.8478,0.9718,0.7018,0.5822
urgency_hard,0.9649,0.9725,0.9516,0.5918,0.9454,0.6047,0.5772
version_compatibility,1.0,0.862,0.8692,0.4028,0.8559,0.8219,0.6801
veterinary_triage,0.888,0.727,0.7541,0.3959,0.581,0.485,0.8381
voice_assistant_intent,0.9945,0.9844,0.9868,0.5493,0.9834,0.9654,0.927
warranty_claim_eligible,0.7189,0.8946,0.8745,0.5628,0.7726,0.6218,0.5684
weather_alert_severity,0.9745,0.958,0.9745,0.4523,0.946,0.9891,0.4643
weather_state_interpretation,0.9611,0.7156,0.7083,0.3217,0.7862,0.1686,0.1667
word_sense_disambiguation,0.9999,0.9929,0.994,0.8861,0.9919,1.0,0.7968
world_model_consistency,0.9701,0.8626,0.8051,0.4477,0.9412,0.5221,0.5563
