run,capability,n,accuracy,soft_accuracy,nll,brier,confidence,ece_15,score_mae,score_within_one,errors,error_rate,latency_ms_mean,latency_ms_p50,latency_ms_p95,_source_file,_line
jev-1.13.0,code_quality_judgements,80,0.95,0.8953,0.1764,0.0942,0.9293,0.0315,0.1075,1.0,0,0.0,731.2,722.1,781.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,11
jev-1.13.0,program_behavior_prediction,80,1.0,0.9475,0.0558,0.0097,0.9475,0.0525,,,0,0.0,732.0,724.9,793.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,12
jev-1.13.0,code_requirement_satisfaction,80,0.7,0.6711,2.3735,0.4387,0.8394,0.1524,,,0,0.0,732.2,730.7,784.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,13
jev-1.13.0,patch_diff_correctness,80,1.0,0.8689,0.1523,0.0554,0.8689,0.1311,,,0,0.0,743.1,723.2,787.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,14
jev-1.13.0,test_quality_and_adequacy,80,0.95,0.7594,0.3105,0.1546,0.7614,0.1941,,,0,0.0,733.0,728.2,787.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,15
jev-1.13.0,api_contract_compatibility,80,0.925,0.7867,0.2868,0.1606,0.7953,0.1297,,,0,0.0,723.3,718.0,774.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,16
jev-1.13.0,dependency_api_existence_judgements,80,0.8625,0.8819,0.199,0.146,0.9425,0.1168,,,0,0.0,734.7,724.2,797.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,17
jev-1.13.0,version_compatibility,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,770.5,722.2,882.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,18
jev-1.13.0,environment_portability_judgements,80,0.9875,0.9525,0.0569,0.0278,0.9535,0.0475,,,0,0.0,720.2,711.5,768.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,19
jev-1.13.0,concurrency_correctness,80,1.0,0.9809,0.0195,0.0014,0.9809,0.0191,,,0,0.0,726.5,721.0,774.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,20
jev-1.13.0,idempotency_judgements,80,0.95,0.8896,0.1442,0.0896,0.8919,0.0601,,,0,0.0,726.9,725.5,765.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,21
jev-1.13.0,error_handling_quality,80,1.0,0.9095,0.1008,0.0336,0.9095,0.0905,,,0,0.0,721.7,712.9,777.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,22
jev-1.13.0,algorithm_data_structure_appropriateness,80,0.7375,0.7401,0.9807,0.479,0.9783,0.2408,,,0,0.0,730.4,724.4,789.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,23
jev-1.13.0,complexity_estimation,80,1.0,0.9932,0.0069,0.0004,0.9932,0.0068,,,0,0.0,728.6,718.5,793.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,24
jev-1.13.0,performance_bottleneck_attribution,80,0.9875,0.9481,0.064,0.0352,0.9486,0.0519,,,0,0.0,727.8,721.9,793.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,25
jev-1.13.0,parallelization_suitability,80,1.0,0.8722,0.1426,0.0489,0.8722,0.1278,,,0,0.0,725.6,719.2,777.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,26
jev-1.13.0,database_query_reasoning,80,1.0,0.9905,0.0097,0.0006,0.9905,0.0095,,,0,0.0,721.1,716.8,759.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,27
jev-1.13.0,regex_pattern_correctness,80,0.7125,0.6769,0.9403,0.4722,0.8672,0.242,,,0,0.0,714.8,709.8,756.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,28
jev-1.13.0,state_machine_correctness,80,0.8375,0.7696,0.315,0.208,0.7986,0.0641,,,0,0.0,726.3,719.8,785.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,29
jev-1.13.0,serialization_compatibility,80,0.8375,0.8097,0.2736,0.1481,0.8397,0.164,,,0,0.0,721.3,711.7,788.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,30
jev-1.13.0,data_migration_correctness,80,0.85,0.7846,0.3263,0.2113,0.8424,0.0746,,,0,0.0,723.7,720.7,781.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,31
jev-1.13.0,distributed_systems_consistency,80,0.825,0.7661,0.4058,0.1868,0.7965,0.154,,,0,0.0,725.2,721.1,771.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,32
jev-1.13.0,cache_correctness,80,0.8875,0.6349,0.4881,0.2417,0.6492,0.2408,,,0,0.0,721.9,721.2,783.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,33
jev-1.13.0,observability_adequacy,80,0.825,0.7795,1.7182,0.2577,0.8771,0.1459,,,0,0.0,727.0,720.6,781.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,34
jev-1.13.0,log_event_sequence_diagnosis,80,1.0,0.9349,0.0812,0.0353,0.9349,0.0651,,,0,0.0,731.3,731.0,786.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,35
jev-1.13.0,configuration_correctness,80,1.0,0.8938,0.116,0.0301,0.8938,0.1062,,,0,0.0,729.6,722.4,791.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,36
jev-1.13.0,command_line_semantics,80,0.875,0.8475,0.238,0.1587,0.9035,0.067,,,0,0.0,731.7,725.1,791.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,37
jev-1.13.0,open_source_license_compatibility,80,0.8,0.7754,0.4175,0.288,0.8999,0.1349,,,0,0.0,723.6,718.6,766.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,38
jev-1.13.0,accessibility_semantics_from_source,80,0.9875,0.928,0.0885,0.0472,0.9287,0.072,,,0,0.0,729.7,719.1,813.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,39
jev-1.13.0,graph_logic,80,0.95,0.8245,0.2313,0.1474,0.8313,0.1188,,,0,0.0,720.1,715.3,759.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,40
jev-1.13.0,graph_knowledge,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,723.9,721.4,781.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,41
jev-1.13.0,ontology_taxonomy_consistency,80,0.65,0.5925,1.013,0.522,0.795,0.2145,,,0,0.0,725.3,713.4,790.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,42
jev-1.13.0,graph_path_relevance,80,1.0,0.997,0.003,0.0001,0.997,0.003,,,0,0.0,723.9,719.3,774.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,43
jev-1.13.0,temporal_graph_consistency,80,1.0,0.9391,0.0637,0.0102,0.9391,0.0609,,,0,0.0,716.9,709.0,770.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,44
jev-1.13.0,causal_chain_validation,80,1.0,0.9336,0.0711,0.0147,0.9336,0.0664,,,0,0.0,733.9,725.5,801.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,45
jev-1.13.0,root_cause_attribution,80,1.0,0.9949,0.0052,0.0001,0.9949,0.0051,,,0,0.0,721.7,716.0,762.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,46
jev-1.13.0,evidence_provenance,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,719.9,714.1,779.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,47
jev-1.13.0,source_reliability_in_context,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,724.2,715.8,799.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,48
jev-1.13.0,semantic_similarity_and_factual_correctness,80,0.7625,0.7709,0.8109,0.4422,0.9916,0.2291,,,0,0.0,717.9,717.4,766.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,49
jev-1.13.0,summary_completeness,80,1.0,0.9988,0.0013,0.0,0.9988,0.0012,,,0,0.0,722.8,720.7,770.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,50
jev-1.13.0,claim_entailment,80,0.75,0.7484,0.6291,0.4081,0.9484,0.1984,,,0,0.0,719.5,713.9,764.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,51
jev-1.13.0,unknown_known_state_classification,80,1.0,0.9946,0.0054,0.0002,0.9946,0.0054,,,0,0.0,729.6,721.9,795.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,52
jev-1.13.0,answerability_from_provided_context,80,0.9875,0.885,0.1473,0.09,0.8855,0.102,,,0,0.0,738.2,724.8,805.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,53
jev-1.13.0,evidence_sufficiency,80,1.0,0.93,0.0732,0.0121,0.93,0.07,,,0,0.0,728.3,722.8,773.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,54
jev-1.13.0,fact_vs_inference_classification,80,0.7625,0.767,0.9623,0.4572,0.9955,0.233,,,0,0.0,733.5,722.8,804.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,55
jev-1.13.0,hallucination_detection,80,0.75,0.7622,0.7624,0.4523,0.9877,0.2377,,,0,0.0,733.1,720.7,806.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,56
jev-1.13.0,topic_keyword_fidelity,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,723.9,715.1,791.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,57
jev-1.13.0,information_retrieval_relevance,80,1.0,0.9926,0.0074,0.0002,0.9926,0.0074,,,0,0.0,729.2,718.2,774.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,58
jev-1.13.0,recommendation_reranking_quality,80,1.0,0.9994,0.0006,0.0,0.9994,0.0006,,,0,0.0,722.7,718.3,777.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,59
jev-1.13.0,entity_resolution,80,1.0,0.8684,0.1555,0.0739,0.8684,0.1316,,,0,0.0,727.4,723.1,787.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,60
jev-1.13.0,record_deduplication,80,0.4375,0.4682,4.5326,0.8516,0.8305,0.4097,,,0,0.0,729.3,725.8,781.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,61
jev-1.13.0,cross_document_reconciliation,80,1.0,0.995,0.005,0.0002,0.995,0.005,,,0,0.0,730.8,725.1,789.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,62
jev-1.13.0,document_consistency,80,0.7875,0.7584,0.4751,0.301,0.8874,0.1119,,,0,0.0,726.9,717.3,797.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,63
jev-1.13.0,booking_accounting_mapping,80,1.0,0.9959,0.0042,0.0002,0.9959,0.0041,,,0,0.0,724.1,720.0,778.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,64
jev-1.13.0,accounting_reasonableness,80,0.925,0.8806,0.1712,0.0957,0.9091,0.0674,,,0,0.0,728.2,720.2,812.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,65
jev-1.13.0,invoice_anomaly_detection,80,0.85,0.84,0.4918,0.259,0.9666,0.1166,,,0,0.0,718.7,712.1,756.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,66
jev-1.13.0,fraud_scam_likelihood,80,0.8125,0.6835,0.4586,0.2513,0.7172,0.1548,0.2588,0.9875,0,0.0,726.4,719.9,792.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,67
jev-1.13.0,transaction_anomaly_detection,80,1.0,0.9366,0.0715,0.0268,0.9366,0.0634,,,0,0.0,723.7,722.5,790.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,68
jev-1.13.0,commercial_price_plausibility,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,725.8,716.7,796.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,69
jev-1.13.0,budget_consistency,80,0.9,0.685,0.4003,0.2376,0.6915,0.2085,,,0,0.0,725.4,718.3,777.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,70
jev-1.13.0,resource_planning,80,0.85,0.821,0.3483,0.2171,0.9099,0.0599,,,0,0.0,724.6,718.4,782.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,71
jev-1.13.0,capacity_planning,80,0.6375,0.5088,0.8336,0.4947,0.649,0.0748,,,0,0.0,720.9,716.4,774.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,72
jev-1.13.0,inventory_decisions,80,0.775,0.7491,0.4047,0.2698,0.8504,0.1446,,,0,0.0,732.4,731.1,787.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,73
jev-1.13.0,scheduling_feasibility,80,0.65,0.6028,0.5604,0.3873,0.6825,0.16,,,0,0.0,719.0,719.2,761.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,74
jev-1.13.0,prioritization_under_constraints,80,0.8125,0.7747,0.4226,0.2415,0.8549,0.1021,,,0,0.0,725.5,721.6,796.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,75
jev-1.13.0,pareto_optimal_decision_taking,80,1.0,0.6824,0.3963,0.2295,0.6824,0.3176,,,0,0.0,715.5,714.3,764.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,76
jev-1.13.0,expected_utility_decisions,80,1.0,0.9841,0.0169,0.0036,0.9841,0.0159,,,0,0.0,722.6,714.8,766.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,77
jev-1.13.0,bayesian_evidence_updating,80,0.9,0.8964,0.161,0.1063,0.9296,0.0881,,,0,0.0,726.6,722.0,781.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,78
jev-1.13.0,game_theory_judgements,80,1.0,0.9859,0.0143,0.0006,0.9859,0.0141,,,0,0.0,742.2,734.8,810.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,79
jev-1.13.0,adversarial_agent_reasoning,80,1.0,0.9646,0.0366,0.0035,0.9646,0.0354,,,0,0.0,742.4,723.1,787.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,80
jev-1.13.0,negotiation_judgements,80,0.975,0.8991,0.1259,0.0624,0.9023,0.079,,,0,0.0,754.1,727.2,800.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,81
jev-1.13.0,probability_support_judgement,80,1.0,0.8807,0.1382,0.0582,0.8807,0.1192,,,0,0.0,721.1,717.5,765.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,82
jev-1.13.0,probability_calibration_language,80,1.0,0.9881,0.012,0.0007,0.9881,0.0119,,,0,0.0,724.9,717.9,776.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,83
jev-1.13.0,forecast_consistency,80,0.675,0.6786,0.507,0.364,0.7896,0.2134,,,0,0.0,722.9,717.5,774.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,84
jev-1.13.0,counterfactual_plausibility,80,0.7625,0.7425,0.5178,0.357,0.9117,0.2045,,,0,0.0,725.3,722.5,786.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,85
jev-1.13.0,base_rate_awareness,80,0.85,0.4617,0.8048,0.4737,0.4907,0.3593,,,0,0.0,722.9,716.1,773.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,86
jev-1.13.0,sampling_statistical_interpretation,80,1.0,0.9335,0.0733,0.0195,0.9335,0.0665,,,0,0.0,739.8,726.4,772.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,87
jev-1.13.0,unit_understanding,80,1.0,0.8619,0.1628,0.0618,0.8619,0.1381,,,0,0.0,728.1,721.7,795.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,88
jev-1.13.0,dimensional_consistency,80,1.0,0.9215,0.0886,0.033,0.9215,0.0785,,,0,0.0,725.2,720.1,765.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,89
jev-1.13.0,order_of_magnitude_reasoning,80,0.9875,0.9582,0.0578,0.0313,0.9662,0.0375,,,0,0.0,736.2,725.3,836.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,90
jev-1.13.0,scale_plausibility,80,1.0,0.9484,0.0536,0.0075,0.9484,0.0516,,,0,0.0,723.0,717.9,779.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,91
jev-1.13.0,geometry_and_embodied_navigation,80,0.55,0.5685,0.7714,0.4948,0.7306,0.1884,,,0,0.0,727.7,721.4,800.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,92
jev-1.13.0,spatial_relation_reasoning,80,1.0,0.8848,0.1288,0.0329,0.8848,0.1152,,,0,0.0,729.1,721.9,775.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,93
jev-1.13.0,route_feasibility,80,0.8625,0.8988,0.1794,0.1367,0.9534,0.0996,,,0,0.0,728.3,719.2,793.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,94
jev-1.13.0,embodied_affordances,80,1.0,0.9269,0.0768,0.0135,0.9269,0.0731,,,0,0.0,714.3,707.5,760.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,95
jev-1.13.0,physical_commonsense,80,1.0,0.9346,0.0686,0.0118,0.9346,0.0654,,,0,0.0,731.9,727.7,792.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,96
jev-1.13.0,mechanical_system_reasoning,80,0.7625,0.6957,0.6432,0.3799,0.8353,0.1747,,,0,0.0,734.7,729.2,800.5,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,97
jev-1.13.0,object_permanence_state_tracking,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,730.9,719.2,806.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,98
jev-1.13.0,temporal_ordering,80,1.0,0.9999,0.0001,0.0,0.9999,0.0001,,,0,0.0,727.5,724.8,772.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,99
jev-1.13.0,calendar_time_zone_understanding,80,0.9875,0.9484,0.0653,0.0318,0.9536,0.0431,,,0,0.0,723.7,719.1,785.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,100
jev-1.13.0,historical_fact_verification,80,1.0,0.9602,0.0408,0.0041,0.9602,0.0398,,,0,0.0,722.5,718.0,786.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,101
jev-1.13.0,historical_anachronism_detection,80,1.0,0.8671,0.1474,0.0495,0.8671,0.1329,,,0,0.0,723.4,720.8,768.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,102
jev-1.13.0,geographical_consistency,80,0.825,0.7522,0.3354,0.2117,0.7923,0.1138,,,0,0.0,723.4,719.8,767.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,103
jev-1.13.0,weather_state_interpretation,80,1.0,0.9611,0.0399,0.0039,0.9611,0.0389,,,0,0.0,726.4,724.3,770.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,104
jev-1.13.0,scientific_hypothesis_plausibility,80,1.0,0.929,0.0762,0.018,0.929,0.071,,,0,0.0,721.0,712.2,798.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,105
jev-1.13.0,experimental_design_judgement,80,1.0,0.9684,0.0332,0.0046,0.9684,0.0316,,,0,0.0,731.4,722.6,803.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,106
jev-1.13.0,measurement_uncertainty_reasoning,80,0.8125,0.6955,0.4362,0.2729,0.753,0.1237,,,0,0.0,730.5,723.2,821.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,107
jev-1.13.0,biological_system_reasoning,80,0.8625,0.8818,0.1758,0.1208,0.9233,0.1183,,,0,0.0,723.9,716.9,780.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,108
jev-1.13.0,biological_signal_understanding,80,1.0,0.9976,0.0024,0.0001,0.9976,0.0024,,,0,0.0,717.6,712.3,755.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,109
jev-1.13.0,medical_differential_reasoning_benchmarks,80,1.0,0.998,0.002,0.0,0.998,0.002,,,0,0.0,722.1,716.8,768.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,110
jev-1.13.0,medical_chronology_consistency,80,1.0,0.98,0.0202,0.0009,0.98,0.02,,,0,0.0,718.6,712.0,763.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,111
jev-1.13.0,translation_correctness,80,1.0,0.9977,0.0023,0.0,0.9977,0.0023,,,0,0.0,721.1,714.3,764.9,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,112
jev-1.13.0,grammar_judgement,80,1.0,0.9776,0.0236,0.0033,0.9776,0.0224,,,0,0.0,726.9,716.3,783.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,113
jev-1.13.0,glossary_adherence,80,1.0,0.9828,0.0175,0.0008,0.9828,0.0172,,,0,0.0,719.5,716.4,767.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,114
jev-1.13.0,synonym_semantic_substitution_scoring,80,0.6625,0.6061,0.7108,0.3853,0.706,0.2503,,,0,0.0,715.9,713.0,755.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,115
jev-1.13.0,word_sense_disambiguation,80,1.0,0.9999,0.0001,0.0,0.9999,0.0001,,,0,0.0,724.1,723.4,769.1,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,116
jev-1.13.0,language_dialect_identification,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,719.1,714.7,767.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,117
jev-1.13.0,code_switch_understanding,80,0.625,0.6094,0.5776,0.3815,0.7075,0.1933,,,0,0.0,720.2,713.9,765.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,118
jev-1.13.0,pragmatic_intent_understanding,80,0.8375,0.8196,0.2784,0.1826,0.8921,0.1486,,,0,0.0,723.3,718.0,772.3,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,119
jev-1.13.0,sarcasm_and_humor_understanding,80,1.0,0.8979,0.1161,0.0427,0.8979,0.1021,,,0,0.0,731.4,719.5,813.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,120
jev-1.13.0,humor_explanation_correctness,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,715.8,711.8,760.6,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,121
jev-1.13.0,mood_atmosphere_understanding,80,1.0,0.9896,0.0107,0.0013,0.9896,0.0104,,,0,0.0,715.6,710.0,760.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,122
jev-1.13.0,tone_register_classification,80,1.0,0.989,0.0113,0.0009,0.989,0.011,,,0,0.0,722.4,713.2,791.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,123
jev-1.13.0,dialogue_coherence,80,1.0,0.9126,0.102,0.0461,0.9126,0.0874,,,0,0.0,729.4,711.4,768.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,124
jev-1.13.0,conversation_state_tracking,80,1.0,1.0,0.0,0.0,1.0,0.0,,,0,0.0,716.9,712.6,757.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,125
